"count_date","location_id","location","daily_cars","daily_bus","daily_peds","daily_bike"
2016-11-29,4371,"FINCH AVE W AT WILMINGTON AVE (PX 890)",16082,442,698,34
2016-11-29,4372,"FINCH AVE W AT SENLAC RD (PX 812)",16334,406,364,19
2016-11-29,32254,"FINCH AVE AT 200M E OF CHESSWOOD DR (PX 2116)",15403,255,305,3
2017-02-06,6135,"COURAGE AVE AT JANE ST",12511,319,122,4
2017-04-27,12405,"JANE ST AT ST MARKS RD",10335,417,233,107
2017-04-27,31531,"FOUR WINDS DR AT SENTINEL RD",6826,125,457,58
2017-04-27,35593,"FOUNTAINHEAD RD AT SENTINEL RD",8036,118,1581,43
2017-06-15,5183,"STEELES AVE W AT 2501 STEELES AVE W",23309,466,144,67
2017-07-11,38481,"CHESSWOOD DR AT VANLEY CRES SOUTH SIDE",8951,81,34,4
2017-09-20,6037,"JANE ST AT SHOREHAM DR (PX 967)",17103,339,2428,12
2017-09-20,30154,"IAN MACDONALD BLVD AT SHOREHAM DR & THE POND RD (PX 2079)",11155,129,1731,42
2017-11-14,30635,"ASSINIBOINE RD AT SENTINEL RD",6958,358,518,58
2017-11-14,38918,"SEELEY DR AT SHEPPARD AVE W (PX 2499)",13908,428,47,13
2017-11-14,38919,"SHEPPARD AVE W AT #1645 SHEPPARD AVE W",14147,425,74,20
2017-11-15,34265,"KEELE ST AT VINE AVE",15355,294,311,157
2018-01-16,4075,"KEELE ST AT SHEPPARD AVE (PX 600)",27010,513,2043,2
2018-01-16,5971,"SENTINEL RD AT SHEPPARD AVE (PX 1427)",13902,360,658,2
2018-01-25,4485,"FOXWELL ST AT JANE ST & WOOLNER AVE (PX 524)",12988,367,1464,11
2018-01-25,4858,"JANE ST AT ST CLAIR AVE (PX 495)",22488,370,637,23
2018-01-25,5797,"JANE ST AT PRITCHARD AVE (PX 1571)",11501,359,729,41
2018-01-25,39058,"CORBETT AVE AT FLORENCE CRES AND JANE ST",12041,385,803,11
2018-02-15,4487,"ALLIANCE AVE AT JANE ST (PX 525)",13467,334,645,14
2018-03-24,4771,"HIGHWAY 27 AT STEELES AVE W",23601,96,29,1
