"count_date","location","lng","lat","count_id","time_trend","daily_cars","daily_bus","daily_peds","daily_bike"
2012-11-21,"JUTLAND RD AT KIPLING AVE (PX 2447)",-79.528846,43.626303,29491,325,19403,357,228,89
2012-11-29,"BLOOR ST AT SOUTH KINGSWAY & RIVERVIEW GARDENS (PX 334)",-79.48575201,43.648312,29471,333,15516,23,1004,106
2012-12-06,"BURNHAMTHORPE RD AT LORRAINE GDNS",-79.54511386,43.6496998120944,29523,340,11259,233,42,3
2013-01-10,"BLOOR ST AT KIPLING AVE (PX 1321)",-79.53536,43.641794003761,29547,375,16604,535,104,2
2013-02-05,"NORTH QUEEN ST AT 137M W OF INDEX ROAD & PRIVATE ACCESS (PX 2309)",-79.55527,43.61912,29579,401,9515,46,168,6
2013-02-14,"DUNDAS ST W AT EAST MALL CRES (PX 915)",-79.54982,43.630377,29597,410,24315,905,850,18
2013-02-19,"BROWNS LINE AT VALERMO DR (PX 762)",-79.547135,43.6060240034788,29609,415,15160,62,170,7
2013-02-19,"DUNDAS ST W AT PAULART DR (PX 511)",-79.546924,43.6310220002373,29599,415,20006,944,243,4
2013-03-12,"DUNDAS ST W AT SHAVER AVE & SHORNCLIFFE RD (PX 778)",-79.544701,43.6321199986147,29669,436,23889,1026,533,10
2013-03-13,"BIRMINGHAM ST AT KIPLING AVE (PX 767)",-79.51802299,43.600682,29671,437,9235,204,794,38
2013-04-15,"ISLINGTON AVE AT NORSEMAN ST (PX 705)",-79.519131,43.634217,29805,470,18799,265,856,12
2013-05-15,"BETA ST AT HORNER AVE (PX 1957)",-79.538539,43.603208,29861,500,5905,82,350,12
2013-06-22,"PARK LAWN RD AT THE QUEENSWAY (PX 564)",-79.490364,43.62905,29991,538,21784,86,231,165
2013-07-10,"BLOOR ST AT SOUTH KINGSWAY & RIVERVIEW GARDENS (PX 334)",-79.48575201,43.648312,30101,556,18510,281,1034,47
2013-07-15,"THE EAST MALL AT VICKERS RD",-79.5517707,43.62956151,30105,561,5119,21,10,16
2013-07-30,"EVANS AVE AT THE EAST MALL (PX 892)",-79.54380601,43.6118289974132,30127,576,12725,124,131,47
2013-07-31,"BESTOBELL RD AT EVANS AVE (PX 2145)",-79.540264,43.6126289958993,30131,577,10250,79,127,56
2013-07-31,"EVANS AVE AT SHERWAY GT (PX 923)",-79.556419,43.6089890010863,30129,577,12855,226,277,52
2013-09-04,"THE EAST MALL AT THE QUEENSWAY (PX 911)",-79.546287,43.6164190042903,30419,612,26537,140,222,72
2013-09-18,"ISLINGTON AVE AT JUTLAND RD (PX 908)",-79.516986,43.628944,30441,626,17286,245,708,73
2013-09-30,"HOLBROOKE AVE AT THE QUEENSWAY (PX 2466)",-79.500428,43.626828,30297,638,14997,93,527,106
2013-09-30,"ROYAL YORK RD AT SYMONS ST",-79.49479348,43.6075597311778,30273,638,3587,126,261,83
2013-10-05,"TAYMALL AVE AT THE QUEENSWAY & WADSWORTH BLVD (PX 566)",-79.507241,43.6253250020155,30323,643,18020,37,376,56
2013-10-07,"BURNHAMTHORPE RD AT SHAVER AVE N",-79.55169676,43.6481778,30271,645,12275,234,108,14
2013-10-15,"TAYMALL AVE AT THE QUEENSWAY & WADSWORTH BLVD (PX 566)",-79.507241,43.6253250020155,30355,653,21579,110,448,115
2013-10-22,"BROWNS LINE AT LAKE SHORE BLVD (PX 242)",-79.542834,43.5922950040153,30381,660,10274,402,415,38
2013-11-04,"KIPLING AVE AT THE QUEENSWAY (PX 568)",-79.52674101,43.6209179956827,30431,673,33401,274,323,25
2013-11-27,"BURNHAMTHORPE RD AT THE WEST MALL (PX 875)",-79.56725,43.644552,30499,696,25069,463,1128,11
2013-12-04,"KIPLING AVE AT NORTH QUEEN ST (PX 724)",-79.528552,43.6252069969846,30557,703,20825,279,568,2
2013-12-05,"KIPLING AVE AT LAKE SHORE BLVD (PX 237)",-79.51695,43.598198,30511,704,18341,476,6478,22
2013-12-10,"ISLINGTON AVE AT LAKE SHORE BLVD & SEVENTH ST (PX 1325)",-79.505274,43.600761,30537,709,8903,262,2013,2
2013-12-11,"KIPLING AVE AT NEW TORONTO ST (PX 1322)",-79.519358,43.603971,30535,710,10109,245,641,3
2014-01-27,"KIPLING AVE AT NORSEMAN ST (PX 725)",-79.53106899,43.6314829961288,30605,757,18780,506,300,11
2014-01-29,"LAKE SHORE BLVD AT 22ND ST & 23RD ST (PX 238)",-79.521318,43.5972060023721,30611,759,15395,215,2967,5
2014-01-30,"NORTH QUEEN ST AT 186M EAST OF THE EAST MALL AT LAWES DRIVEW",-79.54546702,43.62137646,30627,760,6776,127,3,0
2014-02-04,"LAKE SHORE BLVD AT THIRTEENTH ST (PX 1689)",-79.511849,43.599327,30633,765,8010,238,644,4
2014-02-11,"HORNER AVE AT KIPLING AVE (PX 764)",-79.520751,43.6072009967797,30625,772,14708,413,699,2
2014-02-15,"CANMOTOR AVE AT LADY BANK RD & THE QUEENSWAY (PX 1338)",-79.511689,43.624341,30619,776,17647,41,277,26
2014-02-15,"PLASTICS AVE AT THE QUEENSWAY",-79.50998749,43.6247113045492,30621,776,17165,39,240,23
2014-02-18,"CANMOTOR AVE AT LADY BANK RD & THE QUEENSWAY (PX 1338)",-79.511689,43.624341,31303,779,16795,53,300,0
2014-02-18,"LAKE SHORE BLVD AT THIRTIETH ST (PX 239)",-79.529768,43.595323,30635,779,10559,302,638,4
2014-02-18,"PLASTICS AVE AT THE QUEENSWAY",-79.50998749,43.6247113045492,31305,779,16499,50,231,0
2014-02-19,"LAKE SHORE BLVD AT TENTH ST (PX 236)",-79.508632,43.600017,30713,780,7379,222,1503,1
2014-04-09,"HORNER AVE AT JUDSON ST",-79.51582543,43.6120848061198,30753,829,4197,81,61,27
2014-04-10,"JUDSON ST AT ROYAL YORK RD",-79.49836749,43.61617394,31025,830,10039,171,341,128
2014-04-24,"BERING AVE AT ISLINGTON AVE (PX 1088)",-79.521222,43.6393769963967,31041,844,15954,170,400,12
2014-04-24,"CENTRAL PARK RDWY AT CORDOVA AVE & ISLINGTON AVE (PX 1771)",-79.525091,43.6483820039012,31039,844,16927,561,1330,29
2014-04-29,"BIRMINGHAM ST AT ISLINGTON AVE (PX 1312)",-79.506308,43.603267,31141,849,7844,99,456,4
2014-04-29,"BLOOR ST AT ISLINGTON AVE (PX 339)",-79.523438,43.644648,31149,849,29553,749,2642,8
2014-04-29,"EVANS AVE AT ISLINGTON AVE (PX 775)",-79.51132799,43.6183930020764,31177,849,17156,248,257,6
2014-04-29,"ISLINGTON AVE AT JUDSON ST (PX 1314)",-79.508429,43.6137079977673,31175,849,9968,163,89,9
2014-04-29,"ISLINGTON AVE AT NEW TORONTO ST (PX 1313)",-79.506569,43.6067659959568,31173,849,7685,83,118,7
2014-04-29,"ISLINGTON AVE AT TITAN RD (PX 1885)",-79.51776201,43.6308760028703,31179,849,16537,185,321,7
2014-05-03,"BLOOR ST AT ISLINGTON AVE (PX 339)",-79.523438,43.644648,31151,853,24704,385,1833,37
2014-05-03,"ISLINGTON AVE AT TITAN RD (PX 1885)",-79.51776201,43.6308760028703,31143,853,16165,92,302,9
2014-05-21,"ROYAL YORK RD AT YORKVIEW DR",-79.5044773,43.63080556,30887,871,7811,396,1342,107
2014-05-27,"KEANE AVE AT THE EAST MALL",-79.56016513,43.6486440695433,30899,877,7054,153,813,18
2014-06-02,"HIGH ST AT THE QUEENSWAY",-79.48307492,43.6306426427261,30997,883,21038,192,312,221
2014-06-07,"BIRMINGHAM ST AT ISLINGTON AVE (PX 1312)",-79.506308,43.603267,30989,888,6668,45,359,186
2014-06-16,"BROWNS LINE AT WOODBURY RD (PX 2477)",-79.544163,43.5993,31085,897,9299,168,276,49
2014-06-23,"LAKE SHORE BLVD AT LOUISA ST",-79.48647011,43.61892783,31089,904,7780,103,429,284
2014-07-03,"EVANS AVE AT OURLAND AVE",-79.50939989,43.6190370118205,31263,914,5754,96,48,57
2014-07-15,"BLOOR ST AT SOUTH KINGSWAY & RIVERVIEW GARDENS (PX 334)",-79.48575201,43.648312,31313,926,18423,1,1630,237
2014-07-30,"KIPLING AVE AT WARNICA AVE",-79.52755057,43.6228000515258,31309,941,13797,233,109,12
2014-09-18,"HILLSIDE AVE AT ROYAL YORK RD",-79.49588463,43.6101905236957,31419,991,5121,153,445,225
2014-09-22,"CRENDON DR AT RENFORTH DR (SOUTH INTERSECTION)",-79.57354728,43.6450960057069,31423,995,3423,16,135,52
